lat,lon,pop
-8.6667,115.2167,685589
44.5323,125.6965,684360
20.2644,85.8281,684234
34.9057,108.9422,683794
36.6372,127.4897,682326
5.5167,5.75,680000
-4.7889,11.8653,679995
34.5667,135.4833,679771
29.1409,113.1087,679624
5.3992,100.3639,678027
38.7094,116.1008,677381
21.3294,-157.846,676500
29.8182,113.4653,675301
36.6941,114.1847,673478
-23.6939,-46.565,673446
32.7847,119.4432,673405
24.8069,-107.3939,671200
38.4451,116.0897,671033
26.4103,112.3913,668592
35.2125,114.735,668405
34.7513,112.9854,668382
-7.12,-34.88,667929
26.2273,-98.2471,667104
20.5875,-100.3928,666532
-19.1583,-45.4522,666323
2.8883,-75.4339,666322
34.538,113.3796,665564
39.47,-0.3764,664625
37.9161,139.0364,664455
53.7997,-1.5492,664193
28.8437,78.7548,664046
34.7167,137.7333,663403
27.7389,112.5223,661897
31.6783,117.7353,660788
30.0553,119.95,660213
34.7333,36.7167,659862
-14.9167,13.5,659233
22.1511,-100.9761,658859
22.9297,111.0186,658354
25.7003,100.1564,656571
39.9167,127.5333,655852
50.0614,19.9372,655350
40.6629,-73.6089,654876
50.1136,8.6797,654055
24.2075,55.7447,653410
30.1772,111.7732,653337
36.8667,120.5333,652800
29.3956,71.6722,652604
31.7761,104.7406,652572
10.5105,7.4165,652308
36.8494,115.7061,652042
35.1053,-106.6464,651813
34.3962,113.7249,651661
35.75,139.6167,650000
31.6189,113.8229,648766
20.4736,-103.4431,647508
-0.5022,117.1536,647240
-29.6009,30.3796,646277
24.0667,120.5333,645923
16.7,74.2333,644919
39.0099,106.3694,644765
8.3596,-62.6517,644247
